id,grammarType,group,sentence,optionA,optionB,optionC,optionD,correct,infinitive,preteritum,meaning,translation,synonym,antonym
1,Perfekt (Partizip II),,Der Komiker hat das Publikum gut ______.,behalten,unterhalten,abgehalten,aufgehalten,unterhalten,unterhalten,unterhielt,giải trí; trò chuyện,Diễn viên hài đã làm khán giả rất vui.,amüsieren,gelangweilt (làm cho chán)
2,Perfekt (Partizip II),,Wir sind an der nächsten Station ______.,umgestiegen,abgestiegen,aufgestiegen,ausgestiegen,ausgestiegen,aussteigen,stieg aus,xuống xe; rút lui,Chúng tôi đã xuống xe ở trạm tiếp theo.,verlassen,eingestiegen (lên xe)
3,Perfekt (Partizip II),,Der Sänger hat ein neues Album ______.,aufgenommen,angenommen,eingenommen,benommen,aufgenommen,aufnehmen,nahm auf,thu nhận; ghi âm,Ca sĩ đã thu âm một album mới.,aufzeichnen,
4,Perfekt (Partizip II),,Ich habe mein Handy beim Kundendienst ______.,vergeben,abgegeben,zugegeben,eingegeben,abgegeben,abgeben,gab ab,nộp lại; giao,Tôi đã nộp điện thoại tại trung tâm bảo hành.,übergeben,abgeholt (lấy về)
5,Perfekt (Partizip II),,Der Himmel war heute völlig ______.,bedeckt,zugedeckt,entdeckt,abgedeckt,bedeckt,bedecken,bedeckte,che phủ,Hôm nay bầu trời hoàn toàn bị mây che phủ.,verhüllen,
6,Perfekt (Partizip II),,Sie hat ihre Meinung klar ______.,ausgesprochen,abgesprochen,versprochen,besprochen,ausgesprochen,aussprechen,sprach aus,phát âm; bày tỏ,Cô ấy đã bày tỏ quan điểm của mình rõ ràng.,äußern,verschwiegen (giấu kín)
7,Perfekt (Partizip II),,Der Minister ist wegen des Skandals ______.,zurückgetreten,angetreten,eingetreten,aufgetreten,zurückgetreten,zurücktreten,trat zurück,từ chức; lùi lại,Bộ trưởng đã từ chức vì vụ bê bối.,kündigen,angetreten (nhậm chức)
8,Perfekt (Partizip II),,Der Zug ist schon ______.,abgefahren,befahren,weggefahren,mitgefahren,abgefahren,abfahren,fuhr ab,khởi hành,Tàu đã khởi hành rồi.,losfahren,angekommen (đến nơi)
9,Perfekt (Partizip II),,Er hat bei dem Streit einfach ______.,verändert,weggeschaut,zugeschaut,angeschaut,weggeschaut,wegschauen,schaute weg,quay đi không nhìn,Anh ấy chỉ đơn giản là quay đi khi có cuộc cãi vã.,ignorieren,hingeschaut (nhìn thẳng vào)
10,Perfekt (Partizip II),,Die Pflanze ist von Schädlingen ______.,ausgefallen,befallen,weggefallen,verfallen,befallen,befallen,befiel,"xâm nhập (bệnh, sâu bọ)",Cây đã bị sâu bệnh tấn công.,heimsuchen,
11,Perfekt (Partizip II),,Wir haben eine halbe Stunde an der Kasse ______.,aufgestanden,bestanden,angestanden,verstanden,angestanden,anstehen,stand an,xếp hàng,Chúng tôi đã xếp hàng nửa tiếng ở quầy thu ngân.,Schlange stehen,
12,Perfekt (Partizip II),,Das Problem hat mich persönlich sehr ______.,angegangen,eingegangen,begangen,zugegangen,angegangen,angehen,ging an,liên quan đến; bắt đầu,Vấn đề này liên quan sâu sắc đến cá nhân tôi.,betreffen,
13,Perfekt (Partizip II),,Nach der Krankheit hat er sich gut ______.,abgehalten,abgeholt,erholt,eingeholt,erholt,erholen,erholte,"nghỉ ngơi, hồi phục","Sau khi ốm, anh ấy đã hồi phục tốt.",sich ausruhen,verschlechtert (trở nên tệ hơn)
14,Perfekt (Partizip II),,Die Feier wurde perfekt ______.,aufgerichtet,ausgerichtet,berichtet,eingerichtet,ausgerichtet,ausrichten,richtete aus,định hướng; nhắn lại,Buổi lễ đã được tổ chức hoàn hảo.,orientieren,
15,Perfekt (Partizip II),,Nach dem Unfall ist sie langsam wieder ______.,überwacht,erwachsen,erwacht,aufgewacht,erwacht,erwachen,erwachte,thức tỉnh (trang trọng),"Sau vụ tai nạn, cô ấy đã từ từ tỉnh lại.",aufwachen,eingeschlafen (ngủ thiếp đi)
16,Perfekt (Partizip II),,Der Teppich wurde im ganzen Raum ______.,ausgelegt,verlegt,eingelegt,angelegt,ausgelegt,auslegen,legte aus,trải ra; giải thích,Tấm thảm đã được trải khắp căn phòng.,interpretieren,
17,Perfekt (Partizip II),,Der Arzt hat mir ein Medikament ______.,unterschrieben,beschrieben,aufgeschrieben,verschrieben,verschrieben,verschreiben,verschrieb,kê đơn (thuốc),Bác sĩ đã kê đơn thuốc cho tôi.,verordnen,
18,Perfekt (Partizip II),,Der Unterricht ist heute wegen Krankheit ______.,befallen,ausgefallen,eingefallen,verfallen,ausgefallen,ausfallen,fiel aus,bị hủy; rụng,Hôm nay buổi học đã bị hủy vì lý do ốm đau.,entfallen,stattgefunden (diễn ra)
19,Perfekt (Partizip II),,Er hat sie zu einer schlechten Entscheidung ______.,verführt,angeführt,aufgeführt,eingeführt,verführt,verführen,verführte,"quyến rũ, lôi kéo",Anh ấy đã dụ dỗ cô ấy đưa ra một quyết định sai lầm.,verlocken,
20,Perfekt (Partizip II),,Wir haben die Idee erfolgreich ______.,aufgesetzt,fortgesetzt,umgesetzt,versetzt,umgesetzt,umsetzen,setzte um,thực hiện; chuyển đổi,Chúng tôi đã thực hiện ý tưởng đó thành công.,realisieren,
21,Perfekt (Partizip II),,Der Zug ist pünktlich in den Bahnhof ______.,befahren,aufgefahren,abgefahren,eingefahren,eingefahren,einfahren,fuhr ein,tiến vào (ga),Tàu đã vào ga đúng giờ.,hineinfahren,ausgefahren (chạy ra)
22,Perfekt (Partizip II),,Er hat das Fenster ______.,aufgemacht,mitgemacht,angemacht,weitergemacht,aufgemacht,aufmachen,machte auf,mở ra,Anh ấy đã mở cửa sổ.,öffnen,zugemacht (đóng)
23,Perfekt (Partizip II),,Der Hund wurde vor dem Laden ______.,verbunden,angebunden,eingebunden,losgebunden,angebunden,anbinden,band an,buộc vào,Con chó đã được buộc trước cửa hàng.,festbinden,losgebunden (tháo dây)
